,index,Epl.,Kap.,Tit.,Ist 2023,Zweckbestimmung,ministries,id,id_nlp_help,id_nlp,2012 id,2012 Zweckbestimmung,Ist 2012,2013 id,2013 Zweckbestimmung,Ist 2013,2014 id,2014 Zweckbestimmung,Ist 2014,2015 id,2015 Zweckbestimmung,Ist 2015,2016 id,2016 Zweckbestimmung,Ist 2016,2017 id,2017 Zweckbestimmung,Ist 2017,2018 id,2018 Zweckbestimmung,Ist 2018,2019 id,2019 Zweckbestimmung,Ist 2019,2020 id,2020 Zweckbestimmung,Ist 2020,2021 id,2021 Zweckbestimmung,Ist 2021,2022 id,2022 Zweckbestimmung,Ist 2022,Mapper
0,2606,11,2,63681,42678677769.26,Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,110263681,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachteins ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachteins  Zuschuss des Bundes an die allgemeine Rentenversicherung,111363681,Zuschuss des Bundes an die allgemeine Rentenversicherung,31569892728.34,111363681,Zuschuss des Bundes an die allgemeine Rentenversicherung,30493772636.53,110263681,Zuschuss des Bundes an die allgemeine Rentenversicherung,31138301647.62,110263681,Zuschuss des Bundes an die allgemeine Rentenversicherung,31472488699.33,110263681,Zuschuss des Bundes an die allgemeine Rentenversicherung,32312275912.29,110263681,Zuschuss des Bundes an die allgemeine Rentenversicherung,34396271899.73,110263681,Zuschuss des Bundes an die allgemeine Rentenversicherung,35035008025.23,110263681,Zuschuss des Bundes an die allgemeine Rentenversicherung,36305233222.65,110263681,Zuschuss des Bundes an die allgemeine Rentenversicherung,37826577359.26,110263681,Zuschuss des Bundes an die allgemeine Rentenversicherung,40414324814.0,110263681,Zuschuss des Bundes an die allgemeine Rentenversicherung,40835760109.63,nlp
1,2608,11,2,63683,30036972680.17,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,110263683,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtdrei ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtdrei  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,111363683,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,20122812740.85,111363683,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,20989592027.66,110263683,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,21522277428.39,110263683,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,22202796398.3,110263683,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,23106737000.0,110263683,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,24001139349.19,110263683,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,24915032781.84,110263683,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,26086539604.14,110263683,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,27148737210.51,110263683,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,27472726252.59,110263683,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,29130612321.11,nlp
2,2589,11,1,68112,25807575051.79,Arbeitslosengeld Zwei,Bundesministerium für Arbeit und Soziales,110168112,Bundesministerium für Arbeit und Soziales nulleins sechsachteinseinszwei ,Bundesministerium für Arbeit und Soziales nulleins sechsachteinseinszwei  Arbeitslosengeld Zwei,111268112,Arbeitslosengeld Zwei,18951335517.59,111268112,Arbeitslosengeld Zwei,19484295028.94,110168112,Arbeitslosengeld Zwei,19725465106.98,110168112,Arbeitslosengeld Zwei,20197840205.39,110168112,Arbeitslosengeld Zwei,20349375324.07,110168112,Arbeitslosengeld Zwei,21422950838.0,110168112,Arbeitslosengeld Zwei,20542811002.69,110168112,Arbeitslosengeld Zwei,20024708579.48,110168112,Arbeitslosengeld Zwei,20658432311.14,110168112,Arbeitslosengeld Zwei,21748136565.51,110168112,Arbeitslosengeld Zwei,22275766483.04,nlp
3,2609,11,2,63684,17257553576.44,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,110263684,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtvier ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtvier  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,111363684,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,11627512966.78,111363684,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,11584980630.78,110263684,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,11857613234.99,110263684,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,12149495563.06,110263684,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,12530057503.52,110263684,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,13210674018.42,110263684,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,14296956765.94,110263684,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,15391772634.55,110263684,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,16204758092.58,110263684,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,16918535820.41,110263684,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,16820372605.02,nlp
4,3872,15,1,63606,14500000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Bundesministerium für Gesundheit,150163606,Bundesministerium für Gesundheit nulleins sechsdreisechsnullsechs ,Bundesministerium für Gesundheit nulleins sechsdreisechsnullsechs  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),150263606,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),14000000000.0,150263606,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),11500000000.0,150263606,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),10500000000.0,150263606,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),11500000000.0,150163606,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),14000000000.0,150163606,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),14500000000.0,150163606,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),14500000000.0,150163606,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),14500000000.0,150163606,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),14500000000.0,150163606,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),14500000000.0,150163606,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),14500000000.0,nlp
5,2587,11,1,63211,11576313537.71,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Bundesministerium für Arbeit und Soziales,110163211,Bundesministerium für Arbeit und Soziales nulleins sechsdreizweieinseins ,Bundesministerium für Arbeit und Soziales nulleins sechsdreizweieinseins  Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,111263211,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,4838413882.83,111263211,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,4685239525.11,110163211,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,4161595330.03,110163211,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,5249044147.39,110163211,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,5384440787.14,110163211,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,6753371121.29,110163211,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,7023240331.9,110163211,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,6457534859.85,110163211,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,10097038230.86,110163211,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,10089620123.19,110163211,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,9729286242.7,nlp
6,2607,11,2,63682,11542778000.0,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Bundesministerium für Arbeit und Soziales,110263682,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtzwei ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtzwei  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,111363682,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,8323486863.09,111363682,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,8372295000.0,110263682,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,8693036000.0,110263682,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,8734335712.35,110263682,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,9049261069.12,110263682,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,9390091901.05,110263682,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,9541795874.84,110263682,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,9936608094.36,110263682,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,10324752180.27,110263682,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,10980000000.0,110263682,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,11043689669.49,nlp
7,2594,11,2,63201,9835967002.01,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,Bundesministerium für Arbeit und Soziales,110263201,Bundesministerium für Arbeit und Soziales nullzwei sechsdreizweinulleins ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreizweinulleins  Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,111363201,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,1850003200.56,111363201,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,3750774618.18,110263201,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,5442037117.32,110263201,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,5887236860.77,110263201,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,6182742692.85,110263201,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,5464294792.14,110263201,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,5908212668.24,110263201,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,6800515779.02,110263201,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,7430670995.68,110263201,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,7949213009.21,110263201,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,8641190674.63,nlp
8,4425,17,1,68102,7443913915.69,Elterngeld,"Bundesministerium für Familie, Senioren, Frauen und Jugend",170168102,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulleins sechsachteinsnullzwei ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulleins sechsachteinsnullzwei  Elterngeld",170171101,Elterngeld,40285.22,170152701,Elterngeld,804516.85,170168102,Elterngeld,5676376136.19,170168102,Elterngeld,5821898256.36,170168102,Elterngeld,6096816247.3,170168102,Elterngeld,6478117366.96,170168102,Elterngeld,6761941217.86,170168102,Elterngeld,6982356070.15,170168102,Elterngeld,7220369055.11,170168102,Elterngeld,7461646527.04,170168102,Elterngeld,7639830775.27,nlp
9,2886,12,1,11122,7409238614.64,Einnahmen aus der streckenbezogenen Maut,Bundesministerium für Digitales und Verkehr,120111122,Bundesministerium für Digitales und Verkehr nulleins einseinseinszweizwei ,Bundesministerium für Digitales und Verkehr nulleins einseinseinszweizwei  Einnahmen aus der streckenbezogenen Maut,120911102,Einnahmen aus der streckenbezogenen Maut,4362146966.51,120911102,Einnahmen aus der streckenbezogenen Maut,4391414206.63,120911102,Einnahmen aus der streckenbezogenen Maut,4464307402.85,120911102,Einnahmen aus der streckenbezogenen Maut,4386268539.67,120111122,Einnahmen aus der streckenbezogenen Maut,4602784828.08,120111122,Einnahmen aus der streckenbezogenen Maut,4653696629.59,120111122,Einnahmen aus der streckenbezogenen Maut,5127297546.74,120111122,Einnahmen aus der streckenbezogenen Maut,7316727642.37,120111122,Einnahmen aus der streckenbezogenen Maut,7378966591.93,120111122,Einnahmen aus der streckenbezogenen Maut,7638995850.59,120111122,Einnahmen aus der streckenbezogenen Maut,7361504038.44,nlp
