,id,Epl.,Kap.,Tit.,Zweckbestimmung,Ist 2023,2012 Zweckbestimmung,Ist 2012,2013 Zweckbestimmung,Ist 2013,2014 Zweckbestimmung,Ist 2014,2015 Zweckbestimmung,Ist 2015,2016 Zweckbestimmung,Ist 2016,2017 Zweckbestimmung,Ist 2017,2018 Zweckbestimmung,Ist 2018,2019 Zweckbestimmung,Ist 2019,2020 Zweckbestimmung,Ist 2020,2021 Zweckbestimmung,Ist 2021,2022 Zweckbestimmung,Ist 2022,index,ministries,2012 id,2013 id,2014 id,2015 id,2016 id,2017 id,2018 id,2019 id,2020 id,2021 id,2022 id
0,010123201,1,1,23201,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen,1085500.0,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen,1083796.31,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen,1070786.13,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen ,1087406.18,"Beteiligung der Länder"" an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen",1118912.46,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen,1104678.27,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen,1107331.98,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen,1115186.71,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen,1096875.0,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen,1109800.0,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen,1104400.0,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen,1126700.0,,,,,,,,,,,,,
1,010152901,1,1,52901,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,1070598.98,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,584973.18,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,493806.71,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen ,584087.1,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,758140.63,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,779847.86,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,732489.67,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,858168.28,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,900892.74,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,699736.59,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,804600.33,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,890598.36,,,,,,,,,,,,,
2,010168101,1,1,68101,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",1341480.99,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",1347209.82,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",1347743.2,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen. ",1346942.49,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",1347399.23,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",1347980.46,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",1350390.99,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",1347990.98,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",1347996.2,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",1191600.82,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",1159120.94,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",1231511.79,,,,,,,,,,,,,
3,010168401,1,1,68401,Deutsche Künstlerhilfe,3123801.79,Deutsche Künstlerhilfe,3283896.31,Deutsche Künstlerhilfe,3370786.12,Deutsche Künstlerhilfe ,3387406.18,Deutsche Künstlerhilfe,3418912.46,Deutsche Künstlerhilfe,3404678.27,Deutsche Künstlerhilfe,3407331.98,Deutsche Künstlerhilfe,3415186.71,Deutsche Künstlerhilfe,3396875.0,Deutsche Künstlerhilfe,3409800.0,Deutsche Künstlerhilfe,3404400.0,Deutsche Künstlerhilfe,3421900.0,,,,,,,,,,,,,
4,010142101,1,1,42101,Bezüge des Bundespräsidenten,259498.56,Bezüge des Bundespräsidenten,198840.92,Bezüge des Bundespräsidenten,213647.7,Bezüge des Bundespräsidenten ,220144.44,Bezüge des Bundespräsidenten,225194.28,Bezüge des Bundespräsidenten,230140.4,Bezüge des Bundespräsidenten,246499.43,Bezüge des Bundespräsidenten,242267.6,Bezüge des Bundespräsidenten,249077.04,Bezüge des Bundespräsidenten,254256.4,Bezüge des Bundespräsidenten,254916.72,Bezüge des Bundespräsidenten,258353.1,,,,,,,,,,,,,
5,010142102,1,1,42102,Aufwandsgeld,78000.0,Aufwandsgeld,67935.48,Aufwandsgeld,78000.0,Aufwandsgeld ,78000.0,Aufwandsgeld,78000.0,Aufwandsgeld,78000.0,Aufwandsgeld,67435.78,Aufwandsgeld,78000.0,Aufwandsgeld,78000.0,Aufwandsgeld,78000.0,Aufwandsgeld,78000.0,Aufwandsgeld,78000.0,,,,,,,,,,,,,
6,050211999,5,2,11999,Vermischte Einnahmen,2401193.1,Vermischte Einnahmen,7917490.61,Vermischte Einnahmen,9345177.96,Vermischte Einnahmen ,8113785.17,Vermischte Einnahmen,8143363.37,Vermischte Einnahmen,7888652.76,Vermischte Einnahmen,11571073.45,Vermischte Einnahmen,14987068.07,Vermischte Einnahmen,14131710.09,Vermischte Einnahmen,2139967.5,Vermischte Einnahmen,57677336.26,Vermischte Einnahmen,3278806.6,,,,,,,,,,,,,
7,050253999,5,2,53999,Vermischte Verwaltungsausgaben,112334.84,Vermischte Verwaltungsausgaben,196937.59,Vermischte Verwaltungsausgaben,307415.01,Vermischte Verwaltungsausgaben ,103137.96,Vermischte Verwaltungsausgaben,92353.73,Vermischte Verwaltungsausgaben,88640.22,Vermischte Verwaltungsausgaben,102134.19,Vermischte Verwaltungsausgaben,96603.82,Vermischte Verwaltungsausgaben,76036.18,Vermischte Verwaltungsausgaben,94612.53,Vermischte Verwaltungsausgaben,95315.67,Vermischte Verwaltungsausgaben,93231.99,,,,,,,,,,,,,
8,050411999,5,4,11999,Vermischte Einnahmen,7030368.01,Vermischte Einnahmen,6387026.19,Vermischte Einnahmen,7822545.3,Vermischte Einnahmen ,5217548.61,Vermischte Einnahmen,8533867.03,Vermischte Einnahmen,15310920.28,Vermischte Einnahmen,4768682.52,Vermischte Einnahmen,4098518.42,Vermischte Einnahmen,4026393.69,Vermischte Einnahmen,6623895.91,Vermischte Einnahmen,17147321.52,Vermischte Einnahmen,10316720.43,,,,,,,,,,,,,
9,050468111,5,4,68111,"Stipendien, Austauschmaßnahmen und Beihilfen für Nachwuchswissenschaftler, Studierende und Hochschulpraktikanten aus dem Ausland sowie Betreuung und Nachbetreuung",33934628.25,"Stipendien, Austauschmaßnahmen und Beihilfen für Nachwuchswissenschaftler, Studierende und Hochschulpraktikanten aus dem Ausland sowie Betreuung und Nachbetreuung",137499091.44,"Stipendien, Austauschmaßnahmen und Beihilfen für Nachwuchswissenschaftler, Studierende und Hochschulpraktikanten aus dem Ausland sowie Betreuung und Nachbetreuung",141938008.0,"Stipendien, Austauschmaßnahmen und Beihilfen für Nachwuchswissenschaftler, Studierende und Hochschulpraktikanten aus dem Ausland sowie Betreuung und Nachbetreuung ",17071800.0,"Stipendien, Austauschmaßnahmen und Beihilfen für Nachwuchswissenschaftler, Studierende und Hochschulpraktikanten aus dem Ausland sowie Betreuung und Nachbetreuung",16309325.6,"Stipendien, Austauschmaßnahmen und Beihilfen für Nachwuchswissenschaftler, Studierende und Hochschulpraktikanten aus dem Ausland sowie Betreuung und Nachbetreuung",15978365.09,"Stipendien, Austauschmaßnahmen und Beihilfen für Nachwuchswissenschaftler, Studierende und Hochschulpraktikanten aus dem Ausland sowie Betreuung und Nachbetreuung",17402286.81,"Stipendien, Austauschmaßnahmen und Beihilfen für Nachwuchswissenschaftler, Studierende und Hochschulpraktikanten aus dem Ausland sowie Betreuung und Nachbetreuung",19257441.97,"Stipendien, Austauschmaßnahmen und Beihilfen für Nachwuchswissenschaftler, Studierende und Hochschulpraktikanten aus dem Ausland sowie Betreuung und Nachbetreuung",18078014.86,"Stipendien, Austauschmaßnahmen und Beihilfen für Nachwuchswissenschaftler, Studierende und Hochschulpraktikanten aus dem Ausland sowie Betreuung und Nachbetreuung",29045083.57,"Stipendien, Austauschmaßnahmen und Beihilfen für Nachwuchswissenschaftler, Studierende und Hochschulpraktikanten aus dem Ausland sowie Betreuung und Nachbetreuung",30842480.59,"Stipendien, Austauschmaßnahmen und Beihilfen für Nachwuchswissenschaftler, Studierende und Hochschulpraktikanten aus dem Ausland sowie Betreuung und Nachbetreuung",32219737.59,,,,,,,,,,,,,
