,index,Epl.,Kap.,Tit.,Ist 2023,Zweckbestimmung,id,id_nlp_help,id_nlp,2012 id,2012 Zweck,Ist 2012,2013 id,2013 Zweck,Ist 2013,2014 id,2014 Zweck,Ist 2014,2015 id,2015 Zweck,Ist 2015,2016 id,2016 Zweck,Ist 2016,2017 id,2017 Zweck,Ist 2017,2018 id,2018 Zweck,Ist 2018,2019 id,2019 Zweck,Ist 2019,2020 id,2020 Zweck,Ist 2020,2021 id,2021 Zweck,Ist 2021,2022 id,2022 Zweck,Ist 2022
0,2606,11,2,63681,42678677769.26,Zuschuss des Bundes an die allgemeine Rentenversicherung,636811102,63681110242678678,sechsdreisechsachteinseinseinsnullzweivierzweisechssiebenachtsechssiebenacht  Zuschuss des Bundes an die allgemeine Rentenversicherung,636811113,Zuschuss des Bundes an die allgemeine Rentenversicherung,31569892728.34,636811113,Zuschuss des Bundes an die allgemeine Rentenversicherung,30493772636.53,636811102,Zuschuss des Bundes an die allgemeine Rentenversicherung,31138301647.62,636811102,Zuschuss des Bundes an die allgemeine Rentenversicherung,31472488699.33,636811102,Zuschuss des Bundes an die allgemeine Rentenversicherung,32312275912.29,636811102,Zuschuss des Bundes an die allgemeine Rentenversicherung,34396271899.73,636811102,Zuschuss des Bundes an die allgemeine Rentenversicherung,35035008025.23,636831102,Zuschuss des Bundes an die allgemeine Rentenversicherung,26086539604.14,636811102,Zuschuss des Bundes an die allgemeine Rentenversicherung,37826577359.26,636811102,Zuschuss des Bundes an die allgemeine Rentenversicherung,40414324814.0,636811102,Zuschuss des Bundes an die allgemeine Rentenversicherung,40835760109.63
1,2608,11,2,63683,30036972680.17,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,636831102,63683110230036973,sechsdreisechsachtdreieinseinsnullzweidreinullnulldreisechsneunsiebendrei  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,636831113,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,20122812740.85,636831113,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,20989592027.66,636831102,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,21522277428.39,636831102,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,22202796398.3,636831102,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,23106737000.0,636831102,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,24001139349.19,636831102,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,24915032781.84,636811102,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,36305233222.65,636831102,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,27148737210.51,636831102,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,27472726252.59,636831102,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,29130612321.11
2,2609,11,2,63684,17257553576.44,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,636841102,63684110217257554,sechsdreisechsachtviereinseinsnullzweieinssiebenzweifünfsiebenfünffünfvier  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,636841113,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,11627512966.78,636841113,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,11584980630.78,636841102,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,11857613234.99,636841102,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,12149495563.06,636841102,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,12530057503.52,636841102,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,13210674018.42,636841102,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,14296956765.94,636841102,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,15391772634.55,636841102,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,16204758092.58,636841102,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,16918535820.41,636841102,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,16820372605.02
3,3872,15,1,63606,14500000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),636061501,63606150114500000,sechsdreisechsnullsechseinsfünfnulleinseinsvierfünfnullnullnullnullnull  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),636061502,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),14000000000.0,636061502,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),11500000000.0,636061502,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),10500000000.0,636061502,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),11500000000.0,636061501,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),14000000000.0,636061501,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),14500000000.0,636061501,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),14500000000.0,636061501,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),14500000000.0,636061501,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),14500000000.0,636061501,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),14500000000.0,636061501,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),14500000000.0
4,2587,11,1,63211,11576313537.71,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,632111101,63211110111576314,sechsdreizweieinseinseinseinsnulleinseinseinsfünfsiebensechsdreieinsvier  Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,632111112,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,4838413882.83,632111112,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,4685239525.11,632111101,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,4161595330.03,632111101,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,5249044147.39,632111101,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,5384440787.14,632111101,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,6753371121.29,632111101,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,7023240331.9,632111101,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,6457534859.85,632111101,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,10097038230.86,632111101,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,10089620123.19,632111101,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,9729286242.7
5,2607,11,2,63682,11542778000.0,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,636821102,63682110211542778,sechsdreisechsachtzweieinseinsnullzweieinseinsfünfvierzweisiebensiebenacht  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,636821113,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,8323486863.09,636821113,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,8372295000.0,636821102,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,8693036000.0,636821102,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,8734335712.35,636821102,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,9049261069.12,636821102,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,9390091901.05,636821102,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,9541795874.84,636821102,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,9936608094.36,636821102,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,10324752180.27,636821102,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,10980000000.0,636821102,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,11043689669.49
6,2594,11,2,63201,9835967002.01,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,632011102,6320111029835967,sechsdreizweinulleinseinseinsnullzweineunachtdreifünfneunsechssieben  Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,632011113,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,1850003200.56,632011113,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,3750774618.18,632011102,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,5442037117.32,632011102,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,5887236860.77,632011102,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,6182742692.85,632011102,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,5464294792.14,632011102,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,5908212668.24,632011102,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,6800515779.02,632011102,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,7430670995.68,632011102,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,7949213009.21,632011102,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,8641190674.63
7,2588,11,1,63613,6318377623.75,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,636131101,6361311016318378,sechsdreisechseinsdreieinseinsnulleinssechsdreieinsachtdreisiebenacht  Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,636131112,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,4209092656.72,636131112,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,4495355163.04,636131101,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,4696056449.99,636131101,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,4809520646.89,636131101,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,5130855682.36,636131101,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,5347506706.84,636131101,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,5584736641.07,636131101,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,5767823907.61,636131101,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,5811953101.43,636131101,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,5856834791.19,636131101,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,6007084034.65
8,2972,12,2,89111,5364604000.0,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,891111202,8911112025364604,achtneuneinseinseinseinszweinullzweifünfdreisechsviersechsnullvier  Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,891111222,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,2500000000.0,891111222,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,2750000000.0,891111222,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,2750000000.0,891111222,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,3350000000.0,891111202,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,3653000000.0,891111202,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,3675000000.0,891051202,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,106961851.27,891111202,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,4150000000.0,891111202,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,5292500000.0,891111202,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,5292500000.0,891111202,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,5307500000.0
9,3270,12,16,63401,5218166000.0,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,634011216,6340112165218166,sechsdreiviernulleinseinszweieinssechsfünfzweieinsachteinssechssechs  Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,634011222,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,5104600000.0,634011222,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,5239800000.0,634011222,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,5279100000.0,634011222,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,5253800000.0,634011216,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,5231100000.0,634011216,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,5249000000.0,634011216,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,5281443000.0,634011216,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,5162140000.0,634011216,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,5163735000.0,634011216,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,5055630000.0,634011216,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,5045810000.0
