,id,Zweckbestimmung,Ist 2023,2014 Zweck,Ist 2014
0,232010101,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen,1085500.0,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen ,1087406.18
1,529010101,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,1070598.98,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen ,584087.1
2,681010101,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",1341480.99,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen. ",1346942.49
3,684010101,Deutsche Künstlerhilfe,3123801.79,Deutsche Künstlerhilfe ,3387406.18
4,421010101,Bezüge des Bundespräsidenten,259498.56,Bezüge des Bundespräsidenten ,220144.44
5,421020101,Aufwandsgeld,78000.0,Aufwandsgeld ,78000.0
6,232570111,Beteiligung an den Versorgungslasten des Bundes,107670.44,Beteiligung an den Versorgungslasten des Bundes ,133518.59
7,542010111,Öffentlichkeitsarbeit,318412.31,Öffentlichkeitsarbeit ,84753.55
8,431570111,Versorgungsbezüge der Bundespräsidenten und deren Hinterbliebenen,826115.29,Versorgungsbezüge der Bundespräsidenten und deren Hinterbliebenen ,1074263.84
9,432570111,Versorgungsbezüge,3364817.39,Versorgungsbezüge ,2909178.28
10,434570111,Zuführung an die Versorgungsrücklage,186772.13,Zuführung an die Versorgungsrücklage ,128637.36
11,446570111,Beihilfen aufgrund der Beihilfevorschriften,927317.55,Beihilfen aufgrund der Beihilfevorschriften ,876655.62
12,424010111,Zuführung an die Versorgungsrücklage,144448.26,Zuführung an die Versorgungsrücklage ,60514.8
13,441010111,Beihilfen aufgrund der Beihilfevorschriften,350288.67,Beihilfen aufgrund der Beihilfevorschriften ,175062.78
14,443010111,Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften,73873.2,Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften ,30086.31
15,452020111,Unfallversicherung Bund und Bahn,13098.52,Unfallkasse des Bundes ,2540.8
16,526010111,Gerichts- und ähnliche Kosten,26957.17,Gerichts- und ähnliche Kosten ,34519.71
17,526020111,"Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen",31283.03,"Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen ",53668.59
18,545010111,"Konferenzen, Tagungen, Messen und Ausstellungen",2402010.01,"Konferenzen, Tagungen, Messen und Ausstellungen ",1427754.91
19,634030111,Zuweisungen an den Versorgungsfonds,855563.01,Zuweisungen an den Versorgungsfonds ,265441.63
20,119990112,Vermischte Einnahmen,4250.0,Vermischte Einnahmen ,1238.86
21,124010112,"Einnahmen aus Vermietung, Verpachtung und Nutzung",2400.0,"Einnahmen aus Vermietung, Verpachtung und Nutzung ",11000.0
22,132010112,Erlöse aus der Veräußerung von beweglichen Sachen,6813.36,Erlöse aus der Veräußerung von beweglichen Sachen ,1700.34
23,422010112,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,6859904.27,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten ,4072557.14
