,index,Epl.,Kap.,Tit.,Ist 2020,Zweckbestimmung,2020 id,id_nlp_help,id_nlp,2020 Zweck,id
0,4915,32,1,32511,130464483188.83,Einnahmen aus Krediten vom Kreditmarkt,325113201,325113201130464483,dreizweifünfeinseinsdreizweinulleinseinsdreinullviersechsviervierachtdrei  Einnahmen aus Krediten vom Kreditmarkt,,
3,2629,11,2,63681,37826577359.26,Zuschuss des Bundes an die allgemeine Rentenversicherung,636811102,63681110237826577,sechsdreisechsachteinseinseinsnullzweidreisiebenachtzweisechsfünfsiebensieben  Zuschuss des Bundes an die allgemeine Rentenversicherung,Zuschuss des Bundes an die allgemeine Rentenversicherung,636811102.0
5,4979,60,2,61401,27649193000.0,Zuweisung an den Energie- und Klimafonds,614016002,61401600227649193,sechseinsviernulleinssechsnullnullzweizweisiebensechsvierneuneinsneundrei  Zuweisung an den Energie- und Klimafonds,,
6,2631,11,2,63683,27148737210.51,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,636831102,63683110227148737,sechsdreisechsachtdreieinseinsnullzweizweisiebeneinsvierachtsiebendreisieben  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,636831102.0
9,2613,11,1,68112,20658432311.14,Arbeitslosengeld II,681121101,68112110120658432,sechsachteinseinszweieinseinsnulleinszweinullsechsfünfachtvierdreizwei  Arbeitslosengeld II,Arbeitslosengeld II,681121101.0
11,2632,11,2,63684,16204758092.58,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,636841102,63684110216204758,sechsdreisechsachtviereinseinsnullzweieinssechszweinullviersiebenfünfacht  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,636841102.0
14,3897,15,1,63606,14500000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),636061501,63606150114500000,sechsdreisechsnullsechseinsfünfnulleinseinsvierfünfnullnullnullnullnull  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),636061501.0
15,4982,60,2,68301,14080477322.97,Corona-Soforthilfen für kleine Unternehmen und Soloselbständige,683016002,68301600214080477,sechsachtdreinulleinssechsnullnullzweieinsviernullachtnullviersiebensieben  Corona-Soforthilfen für kleine Unternehmen und Soloselbständige,,
19,2630,11,2,63682,10324752180.27,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,636821102,63682110210324752,sechsdreisechsachtzweieinseinsnullzweieinsnulldreizweiviersiebenfünfzwei  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,636821102.0
20,2611,11,1,63211,10097038230.86,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,632111101,63211110110097038,sechsdreizweieinseinseinseinsnulleinseinsnullnullneunsiebennulldreiacht  Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,632111101.0
22,3894,15,1,63201,9410426496.0,Ausgleichszahlungen nach § 21 des Krankenhausfinanzierungsgesetzes,632011501,6320115019410426,sechsdreizweinulleinseinsfünfnulleinsneunviereinsnullvierzweisechs  Ausgleichszahlungen nach § 21 des Krankenhausfinanzierungsgesetzes,,
25,2619,11,2,63201,7430670995.68,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,632011102,6320111027430671,sechsdreizweinulleinseinseinsnullzweisiebenvierdreinullsechssiebeneins  Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,632011102.0
26,2918,12,1,11122,7378966591.93,Einnahmen aus der streckenbezogenen Maut,111221201,1112212017378967,einseinseinszweizweieinszweinulleinssiebendreisiebenachtneunsechssieben  Einnahmen aus der streckenbezogenen Maut,Einnahmen aus der streckenbezogenen Maut,111221201.0
27,4404,17,1,68102,7220369055.11,Elterngeld,681021701,6810217017220369,sechsachteinsnullzweieinssiebennulleinssiebenzweizweinulldreisechsneun  Elterngeld,,
28,2616,11,1,85622,6912686760.29,Überjähriges Darlehen an die Bundesagentur für Arbeit,856221101,8562211016912687,achtfünfsechszweizweieinseinsnulleinssechsneuneinszweisechsachtsieben  Überjähriges Darlehen an die Bundesagentur für Arbeit,,
30,4978,60,2,61201,6134000000.0,Vorsorge für den Ausgleich von Gewerbesteuermindereinnahmen der Gemeinden,612016002,6120160026134000,sechseinszweinulleinssechsnullnullzweisechseinsdreiviernullnullnull  Vorsorge für den Ausgleich von Gewerbesteuermindereinnahmen der Gemeinden,,
31,3914,15,3,68403,6129538789.77,Zuschüsse zur Bekämpfung des Ausbruchs des neuen Coronavirus,684031503,6840315036129539,sechsachtviernulldreieinsfünfnulldreisechseinszweineunfünfdreineun  Zuschüsse zur Bekämpfung des Ausbruchs des neuen Coronavirus,Zuschüsse zur Bekämpfung des Ausbruchs des neuen Coronavirus,684031503.0
