,index,Epl.,Kap.,Tit.,Ist 2023,Zweckbestimmung,id,id_nlp_help,id_nlp
0,5165,60,1,1501,101013402181.62,Umsatzsteuer,15016001,015016001101013402,nulleinsfünfnulleinssechsnullnulleinseinsnulleinsnulleinsdreiviernullzwei  Umsatzsteuer
1,5161,60,1,1101,100382109594.02,Lohnsteuer,11016001,011016001100382110,nulleinseinsnulleinssechsnullnulleinseinsnullnulldreiachtzweieinseinsnull  Lohnsteuer
2,2606,11,2,63681,42678677769.26,Zuschuss des Bundes an die allgemeine Rentenversicherung,636811102,63681110242678678,sechsdreisechsachteinseinseinsnullzweivierzweisechssiebenachtsechssiebenacht  Zuschuss des Bundes an die allgemeine Rentenversicherung
3,5199,60,2,35901,37542662245.03,Entnahmen aus Rücklage,359016002,35901600237542662,dreifünfneunnulleinssechsnullnullzweidreisiebenfünfvierzweisechssechszwei  Entnahmen aus Rücklage
4,5166,60,1,1601,37439287382.11,Einfuhrumsatzsteuer,16016001,01601600137439287,nulleinssechsnulleinssechsnullnulleinsdreisiebenvierdreineunzweiachtsieben  Einfuhrumsatzsteuer
5,5170,60,1,3103,33074864636.71,"Energiesteuer (sonstiges Aufkommen, ohne das in den Titeln 031 02 und 031 04 erfasste Aufkommen)",31036001,03103600133074865,"nulldreieinsnulldreisechsnullnulleinsdreidreinullsiebenvierachtsechsfünf  Energiesteuer (sonstiges Aufkommen, ohne das in den Titeln 031 02 und 031 04 erfasste Aufkommen)"
6,5162,60,1,1201,31190343088.45,Veranlagte Einkommensteuer,12016001,01201600131190343,nulleinszweinulleinssechsnullnulleinsdreieinseinsneunnulldreivierdrei  Veranlagte Einkommensteuer
7,2608,11,2,63683,30036972680.17,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,636831102,63683110230036973,sechsdreisechsachtdreieinseinsnullzweidreinullnulldreisechsneunsiebendrei  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung
8,5139,32,1,32511,27176573003.84,Einnahmen aus Krediten vom Kreditmarkt,325113201,32511320127176573,dreizweifünfeinseinsdreizweinulleinszweisiebeneinssiebensechsfünfsiebendrei  Einnahmen aus Krediten vom Kreditmarkt
9,2589,11,1,68112,25807575051.79,Arbeitslosengeld II,681121101,68112110125807575,sechsachteinseinszweieinseinsnulleinszweifünfachtnullsiebenfünfsiebenfünf  Arbeitslosengeld II
10,5164,60,1,1401,22425823997.78,Körperschaftsteuer,14016001,01401600122425824,nulleinsviernulleinssechsnullnulleinszweizweivierzweifünfachtzweivier  Körperschaftsteuer
11,5163,60,1,1301,18220837495.54,Nicht veranlagte Steuern vom Ertrag (ohne das in Tit. 018 03 erfasste Aufkommen),13016001,01301600118220837,nulleinsdreinulleinssechsnullnulleinseinsachtzweizweinullachtdreisieben  Nicht veranlagte Steuern vom Ertrag (ohne das in Tit. 018 03 erfasste Aufkommen)
