,Epl.,Kap.,Tit.,Ist 2023,Zweckbestimmung,ministries,id,id_nlp_help,id_nlp,2012 id,2012 Zweck,Ist 2012,2013 id,2013 Zweck,Ist 2013,2014 id,2014 Zweck,Ist 2014,2015 id,2015 Zweck,Ist 2015,2016 id,2016 Zweck,Ist 2016,2017 id,2017 Zweck,Ist 2017,2018 id,2018 Zweck,Ist 2018,2019 id,2019 Zweck,Ist 2019,2020 id,2020 Zweck,Ist 2020,2021 id,2021 Zweck,Ist 2021,2022 id,2022 Zweck,Ist 2022
0,11,2,63681,42678677769.26,Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636811102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachteins ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachteins  Zuschuss des Bundes an die allgemeine Rentenversicherung,636811113,Bundesministerium für Arbeit und Soziales,31569892728.34,636811113,Bundesministerium für Arbeit und Soziales,30493772636.53,636811102,Bundesministerium für Arbeit und Soziales,31138301647.62,636811102,Bundesministerium für Arbeit und Soziales,31472488699.33,636811102,Bundesministerium für Arbeit und Soziales,32312275912.29,636811102,Bundesministerium für Arbeit und Soziales,34396271899.73,636811102,Bundesministerium für Arbeit und Soziales,35035008025.23,636811102,Bundesministerium für Arbeit und Soziales,36305233222.65,636811102,Bundesministerium für Arbeit und Soziales,37826577359.26,636811102,Bundesministerium für Arbeit und Soziales,40414324814.0,636811102,Bundesministerium für Arbeit und Soziales,40835760109.63
1,11,2,63683,30036972680.17,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636831102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtdrei ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtdrei  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,636831113,Bundesministerium für Arbeit und Soziales,20122812740.85,636831113,Bundesministerium für Arbeit und Soziales,20989592027.66,636831102,Bundesministerium für Arbeit und Soziales,21522277428.39,636831102,Bundesministerium für Arbeit und Soziales,22202796398.3,636831102,Bundesministerium für Arbeit und Soziales,23106737000.0,636831102,Bundesministerium für Arbeit und Soziales,24001139349.19,636831102,Bundesministerium für Arbeit und Soziales,24915032781.84,636831102,Bundesministerium für Arbeit und Soziales,26086539604.14,636831102,Bundesministerium für Arbeit und Soziales,27148737210.51,636831102,Bundesministerium für Arbeit und Soziales,27472726252.59,636831102,Bundesministerium für Arbeit und Soziales,29130612321.11
2,11,2,63684,17257553576.44,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636841102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtvier ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtvier  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,636841113,Bundesministerium für Arbeit und Soziales,11627512966.78,636841113,Bundesministerium für Arbeit und Soziales,11584980630.78,636841102,Bundesministerium für Arbeit und Soziales,11857613234.99,636841102,Bundesministerium für Arbeit und Soziales,12149495563.06,636841102,Bundesministerium für Arbeit und Soziales,12530057503.52,636841102,Bundesministerium für Arbeit und Soziales,13210674018.42,636841102,Bundesministerium für Arbeit und Soziales,14296956765.94,636841102,Bundesministerium für Arbeit und Soziales,15391772634.55,636841102,Bundesministerium für Arbeit und Soziales,16204758092.58,636841102,Bundesministerium für Arbeit und Soziales,16918535820.41,636841102,Bundesministerium für Arbeit und Soziales,16820372605.02
3,15,1,63606,14500000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Bundesministerium für Gesundheit,636061501,Bundesministerium für Gesundheit nulleinssechsdreisechsnullsechs ,Bundesministerium für Gesundheit nulleinssechsdreisechsnullsechs  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),636061502,Bundesministerium für Gesundheit,14000000000.0,636061502,Bundesministerium für Gesundheit,11500000000.0,636061502,Bundesministerium für Gesundheit,10500000000.0,636061502,Bundesministerium für Gesundheit,11500000000.0,636061501,Bundesministerium für Gesundheit,14000000000.0,636061501,Bundesministerium für Gesundheit,14500000000.0,636061501,Bundesministerium für Gesundheit,14500000000.0,636061501,Bundesministerium für Gesundheit,14500000000.0,636061501,Bundesministerium für Gesundheit,14500000000.0,636061501,Bundesministerium für Gesundheit,14500000000.0,636061501,Bundesministerium für Gesundheit,14500000000.0
4,11,1,63211,11576313537.71,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Bundesministerium für Arbeit und Soziales,632111101,Bundesministerium für Arbeit und Soziales nulleinssechsdreizweieinseins ,Bundesministerium für Arbeit und Soziales nulleinssechsdreizweieinseins  Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,632111112,Bundesministerium für Arbeit und Soziales,4838413882.83,632111112,Bundesministerium für Arbeit und Soziales,4685239525.11,632111101,Bundesministerium für Arbeit und Soziales,4161595330.03,632111101,Bundesministerium für Arbeit und Soziales,5249044147.39,632111101,Bundesministerium für Arbeit und Soziales,5384440787.14,632111101,Bundesministerium für Arbeit und Soziales,6753371121.29,632111101,Bundesministerium für Arbeit und Soziales,7023240331.9,632111101,Bundesministerium für Arbeit und Soziales,6457534859.85,632111101,Bundesministerium für Arbeit und Soziales,10097038230.86,632111101,Bundesministerium für Arbeit und Soziales,10089620123.19,632111101,Bundesministerium für Arbeit und Soziales,9729286242.7
5,11,2,63682,11542778000.0,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Bundesministerium für Arbeit und Soziales,636821102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtzwei ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtzwei  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,636821113,Bundesministerium für Arbeit und Soziales,8323486863.09,636821113,Bundesministerium für Arbeit und Soziales,8372295000.0,636821102,Bundesministerium für Arbeit und Soziales,8693036000.0,636821102,Bundesministerium für Arbeit und Soziales,8734335712.35,636821102,Bundesministerium für Arbeit und Soziales,9049261069.12,636821102,Bundesministerium für Arbeit und Soziales,9390091901.05,636821102,Bundesministerium für Arbeit und Soziales,9541795874.84,636821102,Bundesministerium für Arbeit und Soziales,9936608094.36,636821102,Bundesministerium für Arbeit und Soziales,10324752180.27,636821102,Bundesministerium für Arbeit und Soziales,10980000000.0,636821102,Bundesministerium für Arbeit und Soziales,11043689669.49
6,11,2,63201,9835967002.01,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,Bundesministerium für Arbeit und Soziales,632011102,Bundesministerium für Arbeit und Soziales nullzweisechsdreizweinulleins ,Bundesministerium für Arbeit und Soziales nullzweisechsdreizweinulleins  Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,632011113,Bundesministerium für Arbeit und Soziales,1850003200.56,632011113,Bundesministerium für Arbeit und Soziales,3750774618.18,632011102,Bundesministerium für Arbeit und Soziales,5442037117.32,632011102,Bundesministerium für Arbeit und Soziales,5887236860.77,632011102,Bundesministerium für Arbeit und Soziales,6182742692.85,632011102,Bundesministerium für Arbeit und Soziales,5464294792.14,632011102,Bundesministerium für Arbeit und Soziales,5908212668.24,632011102,Bundesministerium für Arbeit und Soziales,6800515779.02,632011102,Bundesministerium für Arbeit und Soziales,7430670995.68,632011102,Bundesministerium für Arbeit und Soziales,7949213009.21,632011102,Bundesministerium für Arbeit und Soziales,8641190674.63
7,12,1,11122,7409238614.64,Einnahmen aus der streckenbezogenen Maut,Bundesministerium für Digitales und Verkehr,111221201,Bundesministerium für Digitales und Verkehr nulleinseinseinseinszweizwei ,Bundesministerium für Digitales und Verkehr nulleinseinseinseinszweizwei  Einnahmen aus der streckenbezogenen Maut,111021209,Bundesministerium für Digitales und Verkehr,4362146966.51,111021209,Bundesministerium für Digitales und Verkehr,4391414206.63,111021209,Bundesministerium für Digitales und Verkehr,4464307402.85,111021209,Bundesministerium für Digitales und Verkehr,4386268539.67,111221201,Bundesministerium für Digitales und Verkehr,4602784828.08,111221201,Bundesministerium für Digitales und Verkehr,4653696629.59,111221201,Bundesministerium für Digitales und Verkehr,5127297546.74,111221201,Bundesministerium für Digitales und Verkehr,7316727642.37,111221201,Bundesministerium für Digitales und Verkehr,7378966591.93,111221201,Bundesministerium für Digitales und Verkehr,7638995850.59,111221201,Bundesministerium für Digitales und Verkehr,7361504038.44
8,11,1,63613,6318377623.75,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,Bundesministerium für Arbeit und Soziales,636131101,Bundesministerium für Arbeit und Soziales nulleinssechsdreisechseinsdrei ,Bundesministerium für Arbeit und Soziales nulleinssechsdreisechseinsdrei  Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,636131112,Bundesministerium für Arbeit und Soziales,4209092656.72,636131112,Bundesministerium für Arbeit und Soziales,4495355163.04,636131101,Bundesministerium für Arbeit und Soziales,4696056449.99,636131101,Bundesministerium für Arbeit und Soziales,4809520646.89,636131101,Bundesministerium für Arbeit und Soziales,5130855682.36,636131101,Bundesministerium für Arbeit und Soziales,5347506706.84,636131101,Bundesministerium für Arbeit und Soziales,5584736641.07,636131101,Bundesministerium für Arbeit und Soziales,5767823907.61,636131101,Bundesministerium für Arbeit und Soziales,5811953101.43,636131101,Bundesministerium für Arbeit und Soziales,5856834791.19,636131101,Bundesministerium für Arbeit und Soziales,6007084034.65
9,12,1,89111,5943542745.86,"Investitionen der ""Die Autobahn GmbH des Bundes""",Bundesministerium für Digitales und Verkehr,891111201,Bundesministerium für Digitales und Verkehr nulleinsachtneuneinseinseins ,"Bundesministerium für Digitales und Verkehr nulleinsachtneuneinseinseins  Investitionen der ""Die Autobahn GmbH des Bundes""",741111209,Bundesministerium für Digitales und Verkehr,725096035.55,741111209,Bundesministerium für Digitales und Verkehr,494455058.09,741111209,Bundesministerium für Digitales und Verkehr,565256365.86,741111209,Bundesministerium für Digitales und Verkehr,601731462.1,521111201,Bundesministerium für Digitales und Verkehr,595661693.39,521111201,Bundesministerium für Digitales und Verkehr,607015988.4,741111201,Bundesministerium für Digitales und Verkehr,583497564.74,521111201,Bundesministerium für Digitales und Verkehr,661956149.38,521111201,Bundesministerium für Digitales und Verkehr,728645987.71,891111201,Bundesministerium für Digitales und Verkehr,4881468107.89,891111201,Bundesministerium für Digitales und Verkehr,5306534692.07
