,index,Epl.,Kap.,Tit.,Ist 2013,Zweckbestimmung,ministries,2013 id,id_nlp_help,id_nlp,2013 Zweck,id
3,2866,11,13,63681,30493772636.53,Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636811113,Bundesministerium für Arbeit und Soziales einsdreisechsdreisechsachteins ,Bundesministerium für Arbeit und Soziales einsdreisechsdreisechsachteins  Zuschuss des Bundes an die allgemeine Rentenversicherung,Zuschuss des Bundes an die allgemeine Rentenversicherung,636811102.0
6,5069,32,1,32511,22071877287.68,Einnahmen aus Krediten vom Kreditmarkt,Bundesschuld,325113201,Bundesschuld nulleinsdreizweifünfeinseins ,Bundesschuld nulleinsdreizweifünfeinseins  Einnahmen aus Krediten vom Kreditmarkt,Einnahmen aus Krediten vom Kreditmarkt,325113201.0
7,2868,11,13,63683,20989592027.66,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636831113,Bundesministerium für Arbeit und Soziales einsdreisechsdreisechsachtdrei ,Bundesministerium für Arbeit und Soziales einsdreisechsdreisechsachtdrei  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,636831102.0
8,2847,11,12,68112,19484295028.94,Arbeitslosengeld II,Bundesministerium für Arbeit und Soziales,681121112,Bundesministerium für Arbeit und Soziales einszweisechsachteinseinszwei ,Bundesministerium für Arbeit und Soziales einszweisechsachteinseinszwei  Arbeitslosengeld II,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,428011112.0
11,2869,11,13,63684,11584980630.78,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636841113,Bundesministerium für Arbeit und Soziales einsdreisechsdreisechsachtvier ,Bundesministerium für Arbeit und Soziales einsdreisechsdreisechsachtvier  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,636841102.0
13,4079,15,2,63606,11500000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Bundesministerium für Gesundheit,636061502,Bundesministerium für Gesundheit nullzweisechsdreisechsnullsechs ,Bundesministerium für Gesundheit nullzweisechsdreisechsnullsechs  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),636061501.0
16,5159,60,2,83624,8686848000.0,Beteiligung am Grundkapital des Europäischen Stabilitätsmechanismus (ESM),Allgemeine Finanzverwaltung,836246002,Allgemeine Finanzverwaltung nullzweiachtdreisechszweivier ,Allgemeine Finanzverwaltung nullzweiachtdreisechszweivier  Beteiligung am Grundkapital des Europäischen Stabilitätsmechanismus (ESM),,
19,2867,11,13,63682,8372295000.0,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Bundesministerium für Arbeit und Soziales,636821113,Bundesministerium für Arbeit und Soziales einsdreisechsdreisechsachtzwei ,Bundesministerium für Arbeit und Soziales einsdreisechsdreisechsachtzwei  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,636821102.0
20,5144,60,2,63402,8000000000.0,"Zuweisung an das Sondervermögen ""Aufbauhilfe""",Allgemeine Finanzverwaltung,634026002,Allgemeine Finanzverwaltung nullzweisechsdreiviernullzwei ,"Allgemeine Finanzverwaltung nullzweisechsdreiviernullzwei  Zuweisung an das Sondervermögen ""Aufbauhilfe""","Zuweisung an das Sondervermögen ""Aufbauhilfe 2021""",634016002.0
24,2864,11,13,63626,5430756762.72,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,Bundesministerium für Arbeit und Soziales,636261113,Bundesministerium für Arbeit und Soziales einsdreisechsdreisechszweisechs ,Bundesministerium für Arbeit und Soziales einsdreisechsdreisechszweisechs  Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,636161102.0
25,3560,12,22,63401,5239800000.0,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,Bundesministerium für Digitales und Verkehr,634011222,Bundesministerium für Digitales und Verkehr zweizweisechsdreiviernulleins ,Bundesministerium für Digitales und Verkehr zweizweisechsdreiviernulleins  Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,634011216.0
26,4719,17,10,68102,5105063072.82,Elterngeld,"Bundesministerium für Familie, Senioren, Frauen und Jugend",681021710,"Bundesministerium für Familie, Senioren, Frauen und Jugend einsnullsechsachteinsnullzwei ","Bundesministerium für Familie, Senioren, Frauen und Jugend einsnullsechsachteinsnullzwei  Elterngeld","Gebühren, sonstige Entgelte",111011714.0
27,2845,11,12,63211,4685239525.11,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Bundesministerium für Arbeit und Soziales,632111112,Bundesministerium für Arbeit und Soziales einszweisechsdreizweieinseins ,Bundesministerium für Arbeit und Soziales einszweisechsdreizweieinseins  Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,632111101.0
28,2846,11,12,63613,4495355163.04,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,Bundesministerium für Arbeit und Soziales,636131112,Bundesministerium für Arbeit und Soziales einszweisechsdreisechseinsdrei ,Bundesministerium für Arbeit und Soziales einszweisechsdreisechseinsdrei  Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,636131101.0
29,3180,12,9,11102,4391414206.63,Einnahmen aus der streckenbezogenen LKW-Maut,Bundesministerium für Digitales und Verkehr,111021209,Bundesministerium für Digitales und Verkehr nullneuneinseinseinsnullzwei ,Bundesministerium für Digitales und Verkehr nullneuneinseinseinsnullzwei  Einnahmen aus der streckenbezogenen LKW-Maut,Einnahmen aus der streckenbezogenen Maut,111221201.0
30,5125,60,2,13301,4256756009.52,Einnahmen aus der Veräußerung von Beteiligungen und aus der Verwertung von sonstigem Kapitalvermögen des Bundes,Allgemeine Finanzverwaltung,133016002,Allgemeine Finanzverwaltung nullzweieinsdreidreinulleins ,Allgemeine Finanzverwaltung nullzweieinsdreidreinulleins  Einnahmen aus der Veräußerung von Beteiligungen und aus der Verwertung von sonstigem Kapitalvermögen des Bundes,Einnahmen aus der Veräußerung von Beteiligungen und aus der Verwertung von sonstigem Kapitalvermögen des Bundes,133016002.0
31,5077,32,5,57503,4229803903.71,Zinsen für Bundesobligationen,Bundesschuld,575033205,Bundesschuld nullfünffünfsiebenfünfnulldrei ,Bundesschuld nullfünffünfsiebenfünfnulldrei  Zinsen für Bundesobligationen,Zinsen für Bundesobligationen,575033205.0
33,2853,11,13,63201,3750774618.18,Beteiligung des Bundes an der Grundsicherung im Alter und bei Erwerbsminderung,Bundesministerium für Arbeit und Soziales,632011113,Bundesministerium für Arbeit und Soziales einsdreisechsdreizweinulleins ,Bundesministerium für Arbeit und Soziales einsdreisechsdreizweinulleins  Beteiligung des Bundes an der Grundsicherung im Alter und bei Erwerbsminderung,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,632011102.0
34,2849,11,12,68511,3534047002.1,Leistungen zur Eingliederung in Arbeit,Bundesministerium für Arbeit und Soziales,685111112,Bundesministerium für Arbeit und Soziales einszweisechsachtfünfeinseins ,Bundesministerium für Arbeit und Soziales einszweisechsachtfünfeinseins  Leistungen zur Eingliederung in Arbeit,Leistungen zur Eingliederung in Arbeit,685111101.0
35,2862,11,13,63622,2953415604.63,Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,Bundesministerium für Arbeit und Soziales,636221113,Bundesministerium für Arbeit und Soziales einsdreisechsdreisechszweizwei ,Bundesministerium für Arbeit und Soziales einsdreisechsdreisechszweizwei  Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,636121102.0
37,4009,14,68,43353,2803949060.54,Versorgungsbezüge,Bundesministerium der Verteidigung,433531468,Bundesministerium der Verteidigung sechsachtvierdreidreifünfdrei ,Bundesministerium der Verteidigung sechsachtvierdreidreifünfdrei  Versorgungsbezüge,Versorgungsbezüge,433531403.0
39,3575,12,22,89111,2750000000.0,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,Bundesministerium für Digitales und Verkehr,891111222,Bundesministerium für Digitales und Verkehr zweizweiachtneuneinseinseins ,Bundesministerium für Digitales und Verkehr zweizweiachtneuneinseinseins  Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,891111202.0
40,3837,14,4,42801,2677401739.84,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium der Verteidigung,428011404,Bundesministerium der Verteidigung nullviervierzweiachtnulleins ,Bundesministerium der Verteidigung nullviervierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,428011412.0
41,3921,14,12,51802,2609851742.27,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium der Verteidigung,518021412,Bundesministerium der Verteidigung einszweifünfeinsachtnullzwei ,Bundesministerium der Verteidigung einszweifünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,518021408.0
42,2255,10,1,63601,2195899125.72,Zuschüsse zur Alterssicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,636011001,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnulleins ,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnulleins  Zuschüsse zur Alterssicherung der Landwirte,Zuschüsse zur Alterssicherung der Landwirte,636011001.0
43,5004,30,3,68505,2170206517.0,Hochschulpakt 2020,Bundesministerium für Bildung und Forschung,685053003,Bundesministerium für Bildung und Forschung nulldreisechsachtfünfnullfünf ,Bundesministerium für Bildung und Forschung nulldreisechsachtfünfnullfünf  Hochschulpakt 2020,,
46,2852,11,13,23201,1687449658.01,Erstattungen für Aufwendungen aufgrund der Überführung von Zusatzversorgungssystemen in die Rentenversicherung,Bundesministerium für Arbeit und Soziales,232011113,Bundesministerium für Arbeit und Soziales einsdreizweidreizweinulleins ,Bundesministerium für Arbeit und Soziales einsdreizweidreizweinulleins  Erstattungen für Aufwendungen aufgrund der Überführung von Zusatzversorgungssystemen in die Rentenversicherung,,
50,4908,23,2,86601,1434637396.91,Bilaterale Finanzielle Zusammenarbeit,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,866012302,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullzweiachtsechssechsnulleins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullzweiachtsechssechsnulleins  Bilaterale Finanzielle Zusammenarbeit,Bilaterale Finanzielle Zusammenarbeit - Darlehen,866112301.0
51,3217,12,9,74132,1434462116.75,Erhaltung (Bundesautobahnen),Bundesministerium für Digitales und Verkehr,741321209,Bundesministerium für Digitales und Verkehr nullneunsiebenviereinsdreizwei ,Bundesministerium für Digitales und Verkehr nullneunsiebenviereinsdreizwei  Erhaltung (Bundesautobahnen),Pauschale Abgeltung der Zweckausgaben bei Entwurfsbearbeitung und Bauaufsicht (Bundesautobahnen),632121201.0
53,3499,12,18,88203,1335500000.0,Kompensationszahlungen an die Länder wegen Beendigung der Finanzhilfen des Bundes für Investitionen zur Verbesserung der Verkehrsverhältnisse der Gemeinden,Bundesministerium für Digitales und Verkehr,882031218,Bundesministerium für Digitales und Verkehr einsachtachtachtzweinulldrei ,Bundesministerium für Digitales und Verkehr einsachtachtachtzweinulldrei  Kompensationszahlungen an die Länder wegen Beendigung der Finanzhilfen des Bundes für Investitionen zur Verbesserung der Verkehrsverhältnisse der Gemeinden,Erstattungen an die Versorgungsanstalt des Bundes und der Länder für die Übergangsversorgung der Angestellten im Flugverkehrs-Kontrolldienst,636111221.0
54,5082,32,5,57508,1326382354.52,Zinsen gem. § 4 des Schlusszahlungsfinanzierungsgesetzes (SchlussFinG),Bundesschuld,575083205,Bundesschuld nullfünffünfsiebenfünfnullacht ,Bundesschuld nullfünffünfsiebenfünfnullacht  Zinsen gem. § 4 des Schlusszahlungsfinanzierungsgesetzes (SchlussFinG),Zinsen gem. § 4 des Schlusszahlungsfinanzierungsgesetzes (SchlussFinG),575083205.0
55,3907,14,9,55311,1293832848.4,"Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",Bundesministerium der Verteidigung,553111409,Bundesministerium der Verteidigung nullneunfünffünfdreieinseins ,"Bundesministerium der Verteidigung nullneunfünffünfdreieinseins  Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät","Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",553111406.0
