,Epl.,Kap.,Tit.,Ist 2018,Zweckbestimmung,ministries,2018 id,id_nlp_help,id_nlp,2018 Zweck,id
3,11,2,63681,35035008025.23,Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636811102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachteins ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachteins  Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636811102.0
6,11,2,63683,24915032781.84,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636831102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtdrei ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtdrei  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636831102.0
7,11,1,68112,20542811002.69,Arbeitslosengeld II,Bundesministerium für Arbeit und Soziales,681121101,Bundesministerium für Arbeit und Soziales nulleinssechsachteinseinszwei ,Bundesministerium für Arbeit und Soziales nulleinssechsachteinseinszwei  Arbeitslosengeld II,Bundesministerium für Arbeit und Soziales,681121101.0
10,15,1,63606,14500000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Bundesministerium für Gesundheit,636061501,Bundesministerium für Gesundheit nulleinssechsdreisechsnullsechs ,Bundesministerium für Gesundheit nulleinssechsdreisechsnullsechs  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Bundesministerium für Gesundheit,636061501.0
12,11,2,63684,14296956765.94,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636841102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtvier ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtvier  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636841102.0
16,60,2,91901,11206192163.36,Zuführungen an Rücklage zur Finanzierung von Belastungen im Zusammenhang mit der Aufnahme und Unterbringung von Asylbewerbern und Flüchtlingen,Allgemeine Finanzverwaltung,919016002,Allgemeine Finanzverwaltung nullzweineuneinsneunnulleins ,Allgemeine Finanzverwaltung nullzweineuneinsneunnulleins  Zuführungen an Rücklage zur Finanzierung von Belastungen im Zusammenhang mit der Aufnahme und Unterbringung von Asylbewerbern und Flüchtlingen,,
17,11,2,63682,9541795874.84,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Bundesministerium für Arbeit und Soziales,636821102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtzwei ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtzwei  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Bundesministerium für Arbeit und Soziales,636821102.0
20,11,1,63211,7023240331.9,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Bundesministerium für Arbeit und Soziales,632111101,Bundesministerium für Arbeit und Soziales nulleinssechsdreizweieinseins ,Bundesministerium für Arbeit und Soziales nulleinssechsdreizweieinseins  Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Bundesministerium für Arbeit und Soziales,632111101.0
23,17,1,68102,6761941217.86,Elterngeld,"Bundesministerium für Familie, Senioren, Frauen und Jugend",681021701,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulleinssechsachteinsnullzwei ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulleinssechsachteinsnullzwei  Elterngeld","Bundesministerium für Familie, Senioren, Frauen und Jugend",681021701.0
24,11,2,63201,5908212668.24,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,Bundesministerium für Arbeit und Soziales,632011102,Bundesministerium für Arbeit und Soziales nullzweisechsdreizweinulleins ,Bundesministerium für Arbeit und Soziales nullzweisechsdreizweinulleins  Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,Bundesministerium für Arbeit und Soziales,632011102.0
25,11,1,63613,5584736641.07,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,Bundesministerium für Arbeit und Soziales,636131101,Bundesministerium für Arbeit und Soziales nulleinssechsdreisechseinsdrei ,Bundesministerium für Arbeit und Soziales nulleinssechsdreisechseinsdrei  Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,Bundesministerium für Arbeit und Soziales,636131101.0
26,12,16,63401,5281443000.0,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,Bundesministerium für Digitales und Verkehr,634011216,Bundesministerium für Digitales und Verkehr einssechssechsdreiviernulleins ,Bundesministerium für Digitales und Verkehr einssechssechsdreiviernulleins  Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,Bundesministerium für Digitales und Verkehr,634011216.0
27,11,2,63616,5276260311.49,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,Bundesministerium für Arbeit und Soziales,636161102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechseinssechs ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechseinssechs  Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,Bundesministerium für Arbeit und Soziales,636161102.0
28,12,1,11122,5127297546.74,Einnahmen aus der streckenbezogenen Maut,Bundesministerium für Digitales und Verkehr,111221201,Bundesministerium für Digitales und Verkehr nulleinseinseinseinszweizwei ,Bundesministerium für Digitales und Verkehr nulleinseinseinseinszweizwei  Einnahmen aus der streckenbezogenen Maut,Bundesministerium für Digitales und Verkehr,111221201.0
29,12,2,89111,3950000000.0,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,Bundesministerium für Digitales und Verkehr,891111202,Bundesministerium für Digitales und Verkehr nullzweiachtneuneinseinseins ,Bundesministerium für Digitales und Verkehr nullzweiachtneuneinseinseins  Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,Bundesministerium für Digitales und Verkehr,891111202.0
30,11,1,68511,3380096013.64,Leistungen zur Eingliederung in Arbeit,Bundesministerium für Arbeit und Soziales,685111101,Bundesministerium für Arbeit und Soziales nulleinssechsachtfünfeinseins ,Bundesministerium für Arbeit und Soziales nulleinssechsachtfünfeinseins  Leistungen zur Eingliederung in Arbeit,Bundesministerium für Arbeit und Soziales,685111101.0
31,11,2,63612,3336103003.77,Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,Bundesministerium für Arbeit und Soziales,636121102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechseinszwei ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechseinszwei  Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,Bundesministerium für Arbeit und Soziales,636121102.0
32,14,3,43353,3247622855.01,Versorgungsbezüge,Bundesministerium der Verteidigung,433531403,Bundesministerium der Verteidigung nulldreivierdreidreifünfdrei ,Bundesministerium der Verteidigung nulldreivierdreidreifünfdrei  Versorgungsbezüge,Bundesministerium der Verteidigung,433531403.0
36,60,2,61401,2800262000.0,Zuweisung an den Energie- und Klimafonds,Allgemeine Finanzverwaltung,614016002,Allgemeine Finanzverwaltung nullzweisechseinsviernulleins ,Allgemeine Finanzverwaltung nullzweisechseinsviernulleins  Zuweisung an den Energie- und Klimafonds,,
37,12,1,74132,2736350404.92,Erhaltung (Bundesautobahnen),Bundesministerium für Digitales und Verkehr,741321201,Bundesministerium für Digitales und Verkehr nulleinssiebenviereinsdreizwei ,Bundesministerium für Digitales und Verkehr nulleinssiebenviereinsdreizwei  Erhaltung (Bundesautobahnen),Bundesministerium für Digitales und Verkehr,632121201.0
38,14,8,51802,2577685417.77,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium der Verteidigung,518021408,Bundesministerium der Verteidigung nullachtfünfeinsachtnullzwei ,Bundesministerium der Verteidigung nullachtfünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium der Verteidigung,518021408.0
40,14,13,42801,2427155554.72,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium der Verteidigung,428011413,Bundesministerium der Verteidigung einsdreivierzweiachtnulleins ,Bundesministerium der Verteidigung einsdreivierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium der Verteidigung,428011413.0
41,60,2,88402,2400000000.0,"Zuweisung an das Sondervermögen ""Digitale Infrastruktur""",Allgemeine Finanzverwaltung,884026002,Allgemeine Finanzverwaltung nullzweiachtachtviernullzwei ,"Allgemeine Finanzverwaltung nullzweiachtachtviernullzwei  Zuweisung an das Sondervermögen ""Digitale Infrastruktur""",Allgemeine Finanzverwaltung,614036002.0
