,Epl.,Kap.,Tit.,Ist 2023,Zweckbestimmung,ministries,id,id_nlp_help,id_nlp
2,11,2,63681,42678677769.26,Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636811102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachteins ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachteins  Zuschuss des Bundes an die allgemeine Rentenversicherung
3,60,2,35901,37542662245.03,Entnahmen aus Rücklage,Allgemeine Finanzverwaltung,359016002,Allgemeine Finanzverwaltung nullzweidreifünfneunnulleins ,Allgemeine Finanzverwaltung nullzweidreifünfneunnulleins  Entnahmen aus Rücklage
7,11,2,63683,30036972680.17,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636831102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtdrei ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtdrei  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung
8,32,1,32511,27176573003.84,Einnahmen aus Krediten vom Kreditmarkt,Bundesschuld,325113201,Bundesschuld nulleinsdreizweifünfeinseins ,Bundesschuld nulleinsdreizweifünfeinseins  Einnahmen aus Krediten vom Kreditmarkt
9,11,1,68112,25807575051.79,Arbeitslosengeld II,Bundesministerium für Arbeit und Soziales,681121101,Bundesministerium für Arbeit und Soziales nulleinssechsachteinseinszwei ,Bundesministerium für Arbeit und Soziales nulleinssechsachteinseinszwei  Arbeitslosengeld II
12,11,2,63684,17257553576.44,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,636841102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtvier ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtvier  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung
14,32,5,57509,14862929002.62,"Disagio auf Bundesanleihen, Bundesobligationen, Bundesschatzanweisungen, unverzinsliche Schatzanweisungen und Darlehen",Bundesschuld,575093205,Bundesschuld nullfünffünfsiebenfünfnullneun ,"Bundesschuld nullfünffünfsiebenfünfnullneun  Disagio auf Bundesanleihen, Bundesobligationen, Bundesschatzanweisungen, unverzinsliche Schatzanweisungen und Darlehen"
16,15,1,63606,14500000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Bundesministerium für Gesundheit,636061501,Bundesministerium für Gesundheit nulleinssechsdreisechsnullsechs ,Bundesministerium für Gesundheit nulleinssechsdreisechsnullsechs  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds)
18,11,1,63211,11576313537.71,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Bundesministerium für Arbeit und Soziales,632111101,Bundesministerium für Arbeit und Soziales nulleinssechsdreizweieinseins ,Bundesministerium für Arbeit und Soziales nulleinssechsdreizweieinseins  Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung
19,11,2,63682,11542778000.0,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Bundesministerium für Arbeit und Soziales,636821102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtzwei ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechsachtzwei  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet
20,11,2,63201,9835967002.01,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,Bundesministerium für Arbeit und Soziales,632011102,Bundesministerium für Arbeit und Soziales nullzweisechsdreizweinulleins ,Bundesministerium für Arbeit und Soziales nullzweisechsdreizweinulleins  Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung
24,32,5,57508,8158238812.72,Zinsen gem. § 4 des Schlusszahlungsfinanzierungsgesetzes (SchlussFinG),Bundesschuld,575083205,Bundesschuld nullfünffünfsiebenfünfnullacht ,Bundesschuld nullfünffünfsiebenfünfnullacht  Zinsen gem. § 4 des Schlusszahlungsfinanzierungsgesetzes (SchlussFinG)
25,17,1,68102,7443913915.69,Elterngeld,"Bundesministerium für Familie, Senioren, Frauen und Jugend",681021701,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulleinssechsachteinsnullzwei ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulleinssechsachteinsnullzwei  Elterngeld"
26,12,1,11122,7409238614.64,Einnahmen aus der streckenbezogenen Maut,Bundesministerium für Digitales und Verkehr,111221201,Bundesministerium für Digitales und Verkehr nulleinseinseinseinszweizwei ,Bundesministerium für Digitales und Verkehr nulleinseinseinseinszweizwei  Einnahmen aus der streckenbezogenen Maut
28,11,1,63613,6318377623.75,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,Bundesministerium für Arbeit und Soziales,636131101,Bundesministerium für Arbeit und Soziales nulleinssechsdreisechseinsdrei ,Bundesministerium für Arbeit und Soziales nulleinssechsdreisechseinsdrei  Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende
29,60,2,86622,6300000000.0,Darlehen an den Resilience and Sustainability Trust (RST) des IWF,Allgemeine Finanzverwaltung,866226002,Allgemeine Finanzverwaltung nullzweiachtsechssechszweizwei ,Allgemeine Finanzverwaltung nullzweiachtsechssechszweizwei  Darlehen an den Resilience and Sustainability Trust (RST) des IWF
30,12,1,89111,5943542745.86,"Investitionen der ""Die Autobahn GmbH des Bundes""",Bundesministerium für Digitales und Verkehr,891111201,Bundesministerium für Digitales und Verkehr nulleinsachtneuneinseinseins ,"Bundesministerium für Digitales und Verkehr nulleinsachtneuneinseinseins  Investitionen der ""Die Autobahn GmbH des Bundes"""
31,60,2,68703,5423545805.07,"Ertüchtigung von Partnerstaaten im Bereich Sicherheit, Verteidigung und Stabilisierung",Allgemeine Finanzverwaltung,687036002,Allgemeine Finanzverwaltung nullzweisechsachtsiebennulldrei ,"Allgemeine Finanzverwaltung nullzweisechsachtsiebennulldrei  Ertüchtigung von Partnerstaaten im Bereich Sicherheit, Verteidigung und Stabilisierung"
32,12,2,89111,5364604000.0,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,Bundesministerium für Digitales und Verkehr,891111202,Bundesministerium für Digitales und Verkehr nullzweiachtneuneinseinseins ,Bundesministerium für Digitales und Verkehr nullzweiachtneuneinseinseins  Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes
