,index,Epl.,Kap.,Tit.,Ist 2023,Zweckbestimmung,ministries,id,id_nlp_help,id_nlp
2,2606,11,2,63681,42678677769.26,Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,110263681,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachteins ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachteins  Zuschuss des Bundes an die allgemeine Rentenversicherung
3,5199,60,2,35901,37542662245.03,Entnahmen aus Rücklage,Allgemeine Finanzverwaltung,600235901,Allgemeine Finanzverwaltung nullzwei dreifünfneunnulleins ,Allgemeine Finanzverwaltung nullzwei dreifünfneunnulleins  Entnahmen aus Rücklage
7,2608,11,2,63683,30036972680.17,Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,110263683,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtdrei ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtdrei  Zusätzlicher Zuschuss des Bundes an die allgemeine Rentenversicherung
8,5139,32,1,32511,27176573003.84,Einnahmen aus Krediten vom Kreditmarkt,Bundesschuld,320132511,Bundesschuld nulleins dreizweifünfeinseins ,Bundesschuld nulleins dreizweifünfeinseins  Einnahmen aus Krediten vom Kreditmarkt
9,2589,11,1,68112,25807575051.79,Arbeitslosengeld Zwei,Bundesministerium für Arbeit und Soziales,110168112,Bundesministerium für Arbeit und Soziales nulleins sechsachteinseinszwei ,Bundesministerium für Arbeit und Soziales nulleins sechsachteinseinszwei  Arbeitslosengeld Zwei
12,2609,11,2,63684,17257553576.44,Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung,Bundesministerium für Arbeit und Soziales,110263684,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtvier ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtvier  Beitragszahlungen für Kindererziehungszeiten an die allgemeine Rentenversicherung
14,5151,32,5,57509,14862929002.62,"Disagio auf Bundesanleihen, Bundesobligationen, Bundesschatzanweisungen, unverzinsliche Schatzanweisungen und Darlehen",Bundesschuld,320557509,Bundesschuld nullfünf fünfsiebenfünfnullneun ,"Bundesschuld nullfünf fünfsiebenfünfnullneun  Disagio auf Bundesanleihen, Bundesobligationen, Bundesschatzanweisungen, unverzinsliche Schatzanweisungen und Darlehen"
16,3872,15,1,63606,14500000000.0,Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds),Bundesministerium für Gesundheit,150163606,Bundesministerium für Gesundheit nulleins sechsdreisechsnullsechs ,Bundesministerium für Gesundheit nulleins sechsdreisechsnullsechs  Pauschale Abgeltung der Aufwendungen der Krankenkassen für gesamtgesellschaftliche Aufgaben (Gesundheitsfonds)
18,2587,11,1,63211,11576313537.71,Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung,Bundesministerium für Arbeit und Soziales,110163211,Bundesministerium für Arbeit und Soziales nulleins sechsdreizweieinseins ,Bundesministerium für Arbeit und Soziales nulleins sechsdreizweieinseins  Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung
19,2607,11,2,63682,11542778000.0,Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet,Bundesministerium für Arbeit und Soziales,110263682,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtzwei ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechsachtzwei  Zuschuss des Bundes an die allgemeine Rentenversicherung im Beitrittsgebiet
20,2594,11,2,63201,9835967002.01,Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung,Bundesministerium für Arbeit und Soziales,110263201,Bundesministerium für Arbeit und Soziales nullzwei sechsdreizweinulleins ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreizweinulleins  Erstattungen des Bundes für die Grundsicherung im Alter und bei Erwerbsminderung
24,5150,32,5,57508,8158238812.72,Zinsen gem. § 4 des Schlusszahlungsfinanzierungsgesetzes (SchlussFinG),Bundesschuld,320557508,Bundesschuld nullfünf fünfsiebenfünfnullacht ,Bundesschuld nullfünf fünfsiebenfünfnullacht  Zinsen gem. § 4 des Schlusszahlungsfinanzierungsgesetzes (SchlussFinG)
25,4425,17,1,68102,7443913915.69,Elterngeld,"Bundesministerium für Familie, Senioren, Frauen und Jugend",170168102,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulleins sechsachteinsnullzwei ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulleins sechsachteinsnullzwei  Elterngeld"
26,2886,12,1,11122,7409238614.64,Einnahmen aus der streckenbezogenen Maut,Bundesministerium für Digitales und Verkehr,120111122,Bundesministerium für Digitales und Verkehr nulleins einseinseinszweizwei ,Bundesministerium für Digitales und Verkehr nulleins einseinseinszweizwei  Einnahmen aus der streckenbezogenen Maut
28,2588,11,1,63613,6318377623.75,Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende,Bundesministerium für Arbeit und Soziales,110163613,Bundesministerium für Arbeit und Soziales nulleins sechsdreisechseinsdrei ,Bundesministerium für Arbeit und Soziales nulleins sechsdreisechseinsdrei  Verwaltungskosten für die Durchführung der Grundsicherung für Arbeitsuchende
29,5232,60,2,86622,6300000000.0,Darlehen an den Resilience and Sustainability Trust (RST) des IWF,Allgemeine Finanzverwaltung,600286622,Allgemeine Finanzverwaltung nullzwei achtsechssechszweizwei ,Allgemeine Finanzverwaltung nullzwei achtsechssechszweizwei  Darlehen an den Resilience and Sustainability Trust (RST) des IWF
30,2923,12,1,89111,5943542745.86,"Investitionen der ""Die Autobahn GmbH des Bundes""",Bundesministerium für Digitales und Verkehr,120189111,Bundesministerium für Digitales und Verkehr nulleins achtneuneinseinseins ,"Bundesministerium für Digitales und Verkehr nulleins achtneuneinseinseins  Investitionen der ""Die Autobahn GmbH des Bundes"""
31,5220,60,2,68703,5423545805.07,"Ertüchtigung von Partnerstaaten im Bereich Sicherheit, Verteidigung und Stabilisierung",Allgemeine Finanzverwaltung,600268703,Allgemeine Finanzverwaltung nullzwei sechsachtsiebennulldrei ,"Allgemeine Finanzverwaltung nullzwei sechsachtsiebennulldrei  Ertüchtigung von Partnerstaaten im Bereich Sicherheit, Verteidigung und Stabilisierung"
32,2972,12,2,89111,5364604000.0,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,Bundesministerium für Digitales und Verkehr,120289111,Bundesministerium für Digitales und Verkehr nullzwei achtneuneinseinseins ,Bundesministerium für Digitales und Verkehr nullzwei achtneuneinseinseins  Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes
33,3270,12,16,63401,5218166000.0,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,Bundesministerium für Digitales und Verkehr,121663401,Bundesministerium für Digitales und Verkehr einssechs sechsdreiviernulleins ,Bundesministerium für Digitales und Verkehr einssechs sechsdreiviernulleins  Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens
34,2604,11,2,63616,4948454325.56,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,Bundesministerium für Arbeit und Soziales,110263616,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechseinssechs ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechseinssechs  Beteiligung des Bundes in der knappschaftlichen Rentenversicherung
35,5198,60,2,27202,3995861430.0,Einnahmen aus Zuschüssen der Recovery and Resilience Facility (RRF) der Europäischen Union,Allgemeine Finanzverwaltung,600227202,Allgemeine Finanzverwaltung nullzwei zweisiebenzweinullzwei ,Allgemeine Finanzverwaltung nullzwei zweisiebenzweinullzwei  Einnahmen aus Zuschüssen der Recovery and Resilience Facility (RRF) der Europäischen Union
37,2590,11,1,68511,3814147386.72,Leistungen zur Eingliederung in Arbeit,Bundesministerium für Arbeit und Soziales,110168511,Bundesministerium für Arbeit und Soziales nulleins sechsachtfünfeinseins ,Bundesministerium für Arbeit und Soziales nulleins sechsachtfünfeinseins  Leistungen zur Eingliederung in Arbeit
39,3629,14,3,43353,3545180230.18,Versorgungsbezüge,Bundesministerium der Verteidigung,140343353,Bundesministerium der Verteidigung nulldrei vierdreidreifünfdrei ,Bundesministerium der Verteidigung nulldrei vierdreidreifünfdrei  Versorgungsbezüge
40,2602,11,2,63612,3542804000.0,Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,Bundesministerium für Arbeit und Soziales,110263612,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechseinszwei ,Bundesministerium für Arbeit und Soziales nullzwei sechsdreisechseinszwei  Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV
42,3704,14,6,55311,2952729182.95,"Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",Bundesministerium der Verteidigung,140655311,Bundesministerium der Verteidigung nullsechs fünffünfdreieinseins ,"Bundesministerium der Verteidigung nullsechs fünffünfdreieinseins  Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät"
43,3744,14,8,51802,2846770269.25,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium der Verteidigung,140851802,Bundesministerium der Verteidigung nullacht fünfeinsachtnullzwei ,Bundesministerium der Verteidigung nullacht fünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement
45,531,5,1,68732,2685092753.12,Humanitäre Hilfsmaßnahmen im Ausland,Auswärtiges Amt,050168732,Auswärtiges Amt nulleins sechsachtsiebendreizwei ,Auswärtiges Amt nulleins sechsachtsiebendreizwei  Humanitäre Hilfsmaßnahmen im Ausland
49,2240,10,1,63601,2406144953.24,Zuschüsse zur Alterssicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,100163601,Bundesministerium für Ernährung und Landwirtschaft nulleins sechsdreisechsnulleins ,Bundesministerium für Ernährung und Landwirtschaft nulleins sechsdreisechsnulleins  Zuschüsse zur Alterssicherung der Landwirte
50,4840,25,1,63201,2363962259.37,Wohngeld nach dem Wohngeldgesetz,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",250163201,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nulleins sechsdreizweinulleins ","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nulleins sechsdreizweinulleins  Wohngeld nach dem Wohngeldgesetz"
51,3846,14,13,42801,2354934802.39,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium der Verteidigung,141342801,Bundesministerium der Verteidigung einsdrei vierzweiachtnulleins ,Bundesministerium der Verteidigung einsdrei vierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer
53,2907,12,1,68212,2299803163.97,"Ausgaben der ""Die Autobahn GmbH des Bundes"" für Betrieb, Planungsleistungen und Verwaltung",Bundesministerium für Digitales und Verkehr,120168212,Bundesministerium für Digitales und Verkehr nulleins sechsachtzweieinszwei ,"Bundesministerium für Digitales und Verkehr nulleins sechsachtzweieinszwei  Ausgaben der ""Die Autobahn GmbH des Bundes"" für Betrieb, Planungsleistungen und Verwaltung"
58,3873,15,1,63608,2000000000.0,Ergänzender Bundeszuschuss an den Gesundheitsfonds,Bundesministerium für Gesundheit,150163608,Bundesministerium für Gesundheit nulleins sechsdreisechsnullacht ,Bundesministerium für Gesundheit nulleins sechsdreisechsnullacht  Ergänzender Bundeszuschuss an den Gesundheitsfonds
