,id,Zweckbestimmung,Ist 2012,Ist 2013,Ist 2014,Ist 2015,Ist 2016,Ist 2017,Ist 2018,Ist 2019,Ist 2020,Ist 2021,Ist 2022,Ist 2023
808,015016001,Umsatzsteuer,76084073550.13,79177110307.85,82460395133.14,83093087695.71,82036582123.56,86475312475.1,87055453864.7,89536352951.43,72551265206.98,84632543925.25,92411734365.98,101013402181.62
804,011016001,Lohnsteuer,63136207178.55,67174320606.74,71419675841.36,76028058147.26,78518583016.9,83121499180.97,88519972946.57,93310632762.14,89074728732.2,92670557199.57,96564295951.45,100382109594.02
809,016016001,Einfuhrumsatzsteuer,27880543254.66,25906400695.39,26135894105.29,26600532642.33,25291999856.45,28329915186.26,29457261487.75,29407926510.49,21840195790.54,28492946131.78,40400620945.69,37439287382.11
813,031036001,"Energiesteuer (sonstiges Aufkommen, ohne das in den Titeln 031 02 und 031 04 erfasste Aufkommen)",35226218480.93,35117062531.0,35522150910.27,36003263135.58,36454929296.63,36594410504.89,36753566769.04,36718891949.99,33511299453.4,33100977837.55,29388768151.92,33074864636.71
805,012016001,Veranlagte Einkommensteuer,15837992140.81,17968918510.42,19385119937.45,20647068035.46,22879180163.27,25256310108.89,25677631690.9,27077630645.39,25066923013.73,30746440817.58,32899963626.92,31190343088.45
807,014016001,Körperschaftsteuer,8467228516.11,9753803145.54,10022013395.02,9791504674.05,13720969963.28,14629444334.31,16712716970.34,16006651140.59,12133844350.88,21061973012.19,23166906390.19,22425823997.78
806,013016001,Nicht veranlagte Steuern vom Ertrag (ohne das in Tit. 018 03 erfasste Aufkommen),10027525913.12,8630587352.37,8712184139.48,8967812470.99,9730918869.96,10450699080.52,11592031204.54,11724449874.11,10761112751.36,13695461909.79,16313213722.64,18220837495.54
820,036026001,Versicherungsteuer,11137967927.57,11552765418.92,12046208923.66,12419472358.25,12763215749.77,13269324608.4,13778784584.76,14135908081.12,14553407832.61,14979878498.53,15671918310.58,16850667209.82
815,032026001,Tabaksteuer,14143447343.58,13819940696.26,14611741544.93,14920924424.51,14186061348.27,14398831206.64,14339006497.86,14256827886.96,14650916285.96,14732522124.76,14229422104.58,14671808979.16
797,575013205,Zinsen für Bundesanleihen,23231863661.95,24288312756.55,22626506828.96,21483662103.3,20805598417.93,18680233098.28,17567606947.22,15896909750.73,16222534141.06,13796580798.11,12480697819.59,13027240318.05
822,038016001,Kfz-Steuer,8442660472.68,8490321451.29,8501012017.99,8804826305.34,8952083350.1,8947728722.23,9046955009.71,9372266421.66,9526380970.72,9546430047.91,9498883947.34,9514261802.27
845,685016002,Zuschuss an die Postbeamtenversorgungskasse,6716500000.0,6930500000.0,7207700000.0,7400500000.0,7461900000.0,7885000000.0,8129500000.0,8384000000.0,8468100000.0,8696400000.0,8865300000.0,9318500000.0
647,423011403,"Bezüge und Nebenleistungen der Berufssoldatinnen und Berufssoldaten, der Soldatinnen und Soldaten auf Zeit sowie Ausbildungsgeld für Anwärterinnen und Anwärter der Sanitätsoffizierslaufbahn",6084406498.19,6147241426.49,6201288551.03,6297758378.1,6366812154.59,6646990665.63,6943968415.17,7317353406.44,7641802517.63,7757396569.5,7893806778.92,8296839741.13
821,037036001,Stromsteuer,6973151933.11,7009204327.49,6638218724.81,6592533384.83,6569173876.85,6943903881.27,6858041174.89,6688781941.38,6560749103.5,6691314357.92,6830322949.86,6831904848.1
824,044016001,Solidaritätszuschlag zur Lohnsteuer,9223625175.43,9737237586.48,10302279924.74,10941005355.34,11299086798.92,11915137751.56,12610920808.21,13277180222.75,13074610354.9,4270474603.39,3936514446.43,3944294633.2
811,018036001,Abgeltungsteuer auf Zins- und Veräußerungserträge,3622990341.31,3812333908.0,3437475048.98,3633882692.61,2613440763.24,3226563654.64,3033096403.45,2264435597.95,2975868477.2,4412836652.58,2885903129.63,3679114346.01
825,044026001,Solidaritätszuschlag zur Einkommensteuer,1862557897.25,2073532110.82,2225977812.29,2373130377.03,2601239441.8,2876914645.33,2916348024.32,3062567516.8,2782273255.33,2430802562.09,3357284581.42,3382079283.87
810,017016001,Gewerbesteuerumlage,1586658224.39,1575062510.14,1603053725.35,1656398199.63,1755128542.37,1940741695.01,2058286061.85,1947152009.01,1573691435.99,2082169028.82,2573262602.83,2685443041.13
814,031046001,Energiesteuer (aus dem Verbrauch von Erdgas),2701983449.53,2780433065.08,3026452086.12,2354868912.88,2440883359.2,3183587709.14,3082111807.52,2768771964.85,2740745972.72,3020969853.55,3281136731.96,2627869907.85
827,044046001,Solidaritätszuschlag zur Körperschaftsteuer,1059322516.71,1174154819.51,1224348315.85,1236971219.48,1622177246.0,1744221401.3,1831251908.51,1781969944.84,1324193717.69,2321111556.82,2538845784.23,2474951619.8
789,685703004,HGF-Zentren - Betrieb,1443338798.04,1530315801.62,1645495683.26,1793155390.43,1849586137.45,1949245844.76,2010319758.96,2063034081.3,2192762849.89,2207248528.86,2341454164.28,2412682158.43
856,121016004,Abführung der Bundesanstalt für Immobilienaufgaben,2560635664.77,2903779285.0,2816630282.0,2712277126.0,2265000000.0,2265000000.0,2465000000.0,2355000000.0,2360000000.0,2325530234.47,2342690150.47,2337000000.0
148,422010625,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,1310871124.1,1343151431.01,1384291135.28,1403466367.24,1470942637.44,1532645050.18,1611647580.26,1711576032.93,1837217710.37,1953883802.53,2029156542.77,2221172011.51
816,033016001,Branntweinsteuer,2121385988.87,2102421391.41,2059655521.38,2069928757.06,2070230870.59,2093589434.28,2132678605.72,2117755878.39,2237900271.59,2089038486.33,2191281883.19,2158963119.29
793,162123205,Zinseinnahmen aus der Anlage von Kassenmitteln des Bundes,43013956.7,13604652.96,20164794.89,17797508.42,56794604.81,135000367.47,118422212.29,111861759.41,207460357.64,203806341.84,431688840.79,2054391198.92
752,685303003,DFG - Laufende Zwecke,982422000.0,1031543000.0,1083178000.0,1137082000.0,1193160000.0,1254777000.0,1316612000.0,1381398000.0,1447480000.0,1929402000.0,1983378000.0,2038971000.0
826,044036001,Solidaritätszuschlag zu den nicht veranlagten Steuern vom Ertrag (ohne das in Tit. 044 06 erfasste Aufkommen),1037034950.24,910914502.46,877578327.58,931146438.76,1006601304.38,1015983892.56,1189273035.39,1242049560.53,1122192809.88,1453765057.63,1783770904.86,1977113003.46
574,232011102,Einnahmen aus der Ausgabe von Wertmarken für die Beförderung von Schwerbehinderten,14441399.33,9774950.28,1736281495.46,1764158453.84,1823277612.64,1886428409.75,1916956932.99,1960691292.99,1997735986.0,1661780691.44,1661498467.23,1713996569.61
833,121016002,Gewinne aus Unternehmen und Beteiligungen,1063455057.71,1029987414.78,582499596.03,198243789.55,218769584.79,290930552.71,576788420.45,613922405.32,1460390414.16,2434473141.89,2579599456.23,1678402449.92
741,632513002,BAföG - Zuschüsse an Studierende,798916137.41,792396144.02,763033975.81,1138509002.55,1071349912.1,1143426210.75,1031134046.09,989600792.16,1106807775.24,1187060498.75,1288606740.62,1564409567.27
